pt176,5929833.3202,2243790.0432,169.8181,op
pt177,5930015.2898,2243516.8295,169.4011,dor
pt178,5930016.8712,2243521.2306,169.4490,dor
pt179,5930013.6817,2243528.4103,169.4429,op
pt180,5930011.3195,2243531.7895,169.4460,fr
pt181,5930011.6221,2243534.5306,169.5226,z
pt182,5930015.1277,2243536.1974,169.3630,z
pt183,5930017.9728,2243537.2366,169.3496,z
pt184,5930000.5321,2243533.6872,169.4542,z
pt185,5930000.3254,2243533.5331,169.4024,z
pt186,5929998.1126,2243553.6078,169.7431,op
pt187,5929999.4072,2243554.5593,169.6182,z
pt188,5930003.8918,2243556.3473,169.5073,z
pt189,5929991.6879,2243561.0973,169.6943,dor
pt190,5929988.2374,2243559.4251,169.7289,dor
pt191,5929984.1489,2243561.5681,169.6788,z
pt192,5929982.4530,2243564.5152,169.7524,z
pt193,5929979.2903,2243571.2815,169.7792,op
pt194,5929983.8803,2243576.8566,169.8535,pod
pt195,5929982.4792,2243579.0488,169.8649,op
pt196,5929982.4582,2243582.2356,169.8914,z
pt197,5929981.9733,2243577.0168,169.7989,dor
pt198,5929981.0759,2243581.1925,169.8252,dor
pt199,5929982.4127,2243584.0411,169.8598,dor
pt200,5929977.1404,2243578.0059,169.8126,dor
pt201,5929976.0431,2243579.2208,169.8419,dor
pt202,5929973.3024,2243578.8167,169.7294,dor
pt203,5929974.6720,2243577.5507,169.8702,z
pt204,5929962.6963,2243572.7625,169.6161,dor
pt205,5929964.7011,2243571.5964,169.7589,z
pt206,5929965.6051,2243572.1180,169.7678,z
pt207,5929970.2809,2243576.8610,169.7725,j4
pt208,5929964.8935,2243573.6658,169.7099,j4
pt209,5929977.5494,2243576.4732,169.9106,j6
pt210,5929979.6913,2243573.6896,169.8727,j6
pt211,5929984.0312,2243566.2910,169.8075,j6
pt212,5929965.9780,2243580.8670,169.7113,j6
pt213,5929969.8891,2243590.0003,169.9795,kj8
pt214,5929966.7180,2243595.3022,169.9678,kj8
pt215,5929960.3649,2243579.1845,170.0405,z
pt216,5929960.8616,2243578.6180,170.0127,kol
pt217,5929962.3815,2243579.2770,170.1931,kol
pt218,5929962.8380,2243576.5104,169.7480,dor
pt219,5929971.4419,2243581.7463,169.8244,dor
pt220,5929973.3612,2243583.4547,169.9254,dor
pt221,5929969.9623,2243583.6688,170.2230,kol
pt222,5929968.8936,2243582.8904,170.0589,der
pt223,5929970.6486,2243585.2471,169.9478,z
pt224,5929972.5391,2243585.9470,169.8601,dor
pt225,5929970.3035,2243587.6438,170.0773,op
pt226,5929968.6682,2243590.0327,170.1949,pod
pt227,5930000.8871,2243594.7158,170.2075,dor
pt228,5930002.6557,2243599.8811,170.2294,dor
pt229,5929999.1741,2243592.0349,169.9282,fr
pt230,5929991.8674,2243587.6250,169.7887,fr
pt231,5929986.2279,2243591.8763,170.2063,pod
pt232,5929983.5521,2243590.1507,170.2180,op
pt233,5929981.2882,2243588.1464,170.0815,dor
pt234,5929978.8903,2243589.2859,169.8949,z
pt235,5929976.9718,2243588.0754,169.9917,dor
pt236,5929973.1011,2243590.8090,169.9909,dor
pt237,5929975.0810,2243591.1950,169.7296,fr
pt238,5929975.1481,2243592.6119,169.6823,fr
pt239,5929974.2478,2243592.7983,169.8090,fr
pt240,5929972.6360,2243596.3730,169.4173,fr
pt241,5929964.7914,2243594.9221,169.8754,z
pt242,5929964.2899,2243595.8010,169.9203,z
pt243,5929963.8282,2243596.4782,169.9294,gaz
pt244,5929969.0627,2243605.0539,169.9511,z
pt245,5929969.2374,2243605.1930,169.8005,z
pt246,5929966.7516,2243608.4629,170.0563,z
pt247,5929955.3464,2243611.9646,169.8451,op
pt248,5929955.6882,2243614.4486,169.9076,dor
pt249,5929958.2788,2243616.1302,169.9651,dor
pt250,5929960.0225,2243619.6880,169.9822,z
pt251,5929960.2071,2243619.7972,169.8744,z
pt252,5929959.2855,2243620.5709,169.9472,z
pt253,5929956.1873,2243624.3101,169.7422,ku
pt254,5929956.2094,2243625.6993,169.7917,z
pt255,5929956.3705,2243625.7991,169.7456,z
pt256,5929950.8054,2243633.7264,169.8854,z
pt257,5929950.9221,2243634.0079,169.8382,z
pt258,5929950.3224,2243634.3231,169.7461,fr
pt259,5929944.7245,2243628.5546,169.8040,z
pt260,5929944.4720,2243628.4715,169.8161,z
pt261,5929942.9998,2243631.1256,169.8376,z
pt262,5929943.3086,2243629.9711,169.7361,z
pt263,5929944.0617,2243630.9910,169.7646,j6
pt264,5929939.2979,2243639.6409,169.8327,j6
pt265,5929941.7275,2243633.1123,169.7632,gaz
pt266,5929940.9127,2243636.0379,170.0043,op
pt267,5929948.8299,2243636.3633,169.6797,fr
pt268,5929947.2137,2243638.9931,170.0417,ber
pt269,5929947.7223,2243639.8603,169.9193,z
pt270,5929945.5623,2243643.3820,169.9016,z
pt271,5929942.6359,2243642.9260,169.9096,dor
pt272,5929939.8395,2243641.9308,169.9049,dor
pt273,5929942.7323,2243647.3341,170.0867,ber
pt274,5929940.9195,2243650.1319,169.9916,ber
pt275,5929939.7133,2243652.1321,169.9358,ber
pt276,5929938.5608,2243654.6396,169.9375,ber
pt277,5929937.7912,2243658.3179,169.9474,z
pt278,5929937.8889,2243658.3782,169.8528,z
pt279,5929930.7771,2243652.9849,170.0004,op
pt280,5929926.4933,2243658.6218,170.0080,z
pt281,5929926.1671,2243658.3597,169.8848,z
pt282,5929933.8529,2243665.0070,169.9410,z
pt283,5929933.3724,2243665.8478,169.9819,z
pt284,5929922.4496,2243668.0333,169.8826,tua
pt285,5929920.2998,2243669.7898,169.9914,op
pt286,5929918.5186,2243671.0603,170.0444,z
pt287,5929918.5185,2243671.0621,170.0432,cem
pt288,5929920.0389,2243672.0789,170.0408,cem
pt289,5929917.4476,2243675.9559,170.0182,cem
pt290,5929915.9887,2243675.0551,170.0576,z
pt291,5929916.5227,2243677.1152,169.8436,tua
pt292,5929925.4050,2243676.0026,170.1007,der
pt293,5929927.6309,2243676.2048,169.9425,z
pt294,5929927.7296,2243676.3261,169.9753,z
pt295,5929924.2820,2243678.4142,169.7967,ku
pt296,5929925.2008,2243666.0302,170.0908,kj8
pt297,5929923.5851,2243665.8785,170.0340,j4
pt298,5929920.2144,2243671.3766,170.1515,j4
pt299,5929920.9739,2243673.3963,170.1598,kj8
pt300,5929921.4006,2243679.1781,170.0881,kj_stv
pt301,5929916.1996,2243675.7876,170.0757,kj_stv
pt302,5929911.6668,2243685.1538,169.8549,tua
pt303,5929906.3594,2243692.2883,169.8727,tua
pt304,5929905.3620,2243693.3632,169.9991,op
pt305,5929908.1286,2243695.3136,170.0869,dor
pt306,5929910.5643,2243696.7036,170.0342,dor
pt307,5929914.0601,2243697.7929,170.1498,z
pt308,5929914.2947,2243697.8467,170.0981,z
pt309,5929911.1729,2243703.0069,170.0725,z
pt310,5929909.6167,2243705.7223,170.0241,z
pt311,5929901.3765,2243700.9298,169.9639,tua
pt312,5929899.2522,2243700.8073,170.0125,z
pt313,5929899.1005,2243700.7288,170.0232,z
pt314,5929902.0136,2243718.5538,169.8297,z
pt315,5929902.1321,2243718.6411,169.6808,z
